gender,season,hand,year,college,US.Int,MN,MN.fair,campus ,shower,movies,hair,charities,Swiftie ,exercise,courses,TikTok,procrastinate,sleep,sleep.weekend,HS.GPA,college.GPA, tattoos,traffic.tickets ,text.drive,dom.foot,non.dom.foot,num.heads,num.candies
Female,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Yes,Evening,4,75,0,No,2,5,2,2,8,8,3.78,NA,0,0,Yes,189,131,6,52
Female,Fall,Right,Senior,College of Biological Sciences (CBS),U.S.,Yes,No,Yes,Depends,2,450,0,I am not sure,1,5,3,4,7,8,4,2.7,0,0,No,81,78,6,62
Female,Fall,Left,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,No,No,Evening,3,0,0,I am not sure,1,8,1,8,6,9,3.9,3.4,2,0,No,120,120,5,36
Female,Fall,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,Yes,No,Depends,1,60,0,No,0.5,3,2,2,7,9,3.6,3.1,1,0,No,86,49,6,47
Male,Summer,Right,Junior,College of Liberal Arts (CLA),U.S.,Yes,Yes,Yes,Depends,2,45,0,I am not sure,2,2,NA,NA,8,7,3.9,3.1,0,1,No,50,45,4,150
Female,Fall,Right,Freshman,College of Biological Sciences (CBS),U.S.,Yes,No,Yes,Evening,8,100,25,Yes,2,3,2,3,6,8,4,4,0,0,No,255,125,3,56
Female,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Yes,Depends,5,0,20,Yes,2,5,2,1,7,7,3.91,3.83,0,0,No,300,180,6,45
Female,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Yes,Evening,2,175,50,Yes,2,4,2,2,8,7,3.6,NA,0,0,No,300,240,4,32
Female,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Yes,Evening,8,60,30,No,3,5,4,3,7,9,3.5,NA,0,1,Yes,360,240,3,40
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Yes,Evening,5,60,0,I am not sure,2,8,5,12,7,9,4,3.2,0,0,Yes,10,5,7,72
Female,Spring,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,No,No,Morning,2,60,50,No,1,12,0,2,6,10,3.7,3,0,0,No,216,106,5,56
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,No,Yes,Morning,3,300,0,No,4,4,3,2,8,8,3.7,2.96,0,2,Yes,30,32,6,55
Male,Winter,Right,Others (PSEO or Post graduate),Prefer not to answer,U.S.,Yes,Yes,No,Evening,1,0,0,No,0,6,0,0.5,6,9,4,3.667,0,0,No,60,20,4,40
Male,Summer,Right,Junior,Other,U.S.,Yes,Yes,No,Evening,2,50,0,No,2,5,1,2,7,9,3.94,3.6,0,1,No,60,50,5,73
Male,Fall,Right,Junior,College of Liberal Arts (CLA),U.S.,Yes,Yes,Yes,Morning,1,40,20,No,1,5,1,0,8,8,3.9,3.8,0,0,No,58,22,6,68
Male,Summer,Right,Senior,College of Biological Sciences (CBS),U.S.,Yes,No,No,Morning,7,25,0,No,0.75,9,1.5,2,7,8,3.9,3.663,0,1,No,184,162,6,112
Female,Fall,Right,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Yes,Depends,5,25,70,No,3,2,0.5,0,8,8,3.98,3.8,0,0,No,120,120,6,43
Male,Winter,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Yes,Depends,2,0,250,No,1,1.5,0,0.5,6,5,3.5,3.667,1,0,No,120,80,6,32
Female,Fall,Right,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,No,No,No,Evening,3,100,0,No,1,3,1,2,7,9,3.9,3.4,1,2,Yes,136,97,6,95
Female,Summer,Right,Junior,College of Liberal Arts (CLA),International,No,No,Yes,Evening,3,5,0,I am not sure,1,3.5,1,0.5,7,8,3.53,3.882,0,0,No,348,240,6,36
